,Class,Accuracy,Precision,Recall,F1
0,washing_machine,0.9665620336540935,0.896566781289231,0.9238470191226097,0.9100024930057339
1,dishwasher,0.9929295528225184,0.8813800969489592,0.9193932183224272,0.8999854418401515
2,oven,0.9967683836772501,0.0,,
3,washing_machine,0.9767197030541145,0.9308234806056834,0.8586051851143213,0.8932570291117193
4,dishwasher,0.9987084590505546,0.0,,
5,oven,0.9951268749050337,0.7977036632039366,0.9486345903771132,0.8666468666468667
6,washing_machine,0.992014882344622,0.9416431593794076,0.9298398328690808,0.9357042747021723
7,dishwasher,0.9864448820182548,0.8839625909248354,0.7369332948310713,0.803779527559055
8,oven,0.999325507772979,0.9965916837082481,0.9624753127057275,0.9792364367046216
9,washing_machine,0.9922591181273815,0.8929275235384279,0.9483720930232559,0.9198150445471975
10,dishwasher,0.9727599346761023,0.880724360090545,0.7357090909090909,0.8017118402282453
11,oven,0.9991616766467066,0.0,,
12,washing_machine,0.9868618618618619,0.8959307531588897,0.9241584564860427,0.9098257135640314
13,dishwasher,0.9873918035682742,0.8609022556390977,0.6303330580787229,0.7277927856348323
14,oven,0.9983660130718954,0.0,,
15,washing_machine,0.9711491442542787,0.584007953415708,0.8099271223163286,0.6786598448588875
16,dishwasher,0.9873231088390012,0.6889763779527559,0.915963943006688,0.7864186743228062
17,oven,0.9970289694006076,0.9027673896783844,0.8166441136671178,0.8575488454706928
18,washing_machine,0.9868360294063753,0.8317093708649104,0.9456982628915334,0.8850486431131592
19,dishwasher,0.989958441139607,0.8812865497076023,0.7576671694318753,0.8148148148148148
20,oven,0.992296585137027,0.8979413053000438,0.7147838214783822,0.79596194913609
21,washing_machine,0.9363012205754141,0.13204090978476568,0.8447265625,0.22838283828382838
22,dishwasher,0.9807105492589363,0.8849595227950575,0.5806541794800112,0.7012153950033762
23,oven,0.9710549258936356,0.9445361505447343,0.5348663301551692,0.6829792313201243
24,washing_machine,0.983572880048651,0.8311961320159764,0.9284959492779148,0.8771560090954467
25,dishwasher,0.9974413740933564,0.0,,
26,oven,0.9917827318708377,0.851145038167939,0.604882459312839,0.7071881606765327
27,washing_machine,0.9836738604870571,0.8679004467134652,0.8521303258145363,0.8599430920012646
28,dishwasher,0.9937496314641193,0.0,,
29,oven,0.9842930007665547,0.7393195190585827,0.7221389305347327,0.7306282391606623
